Player_ID_Full,Role
Aaron Connolly_IRL_FW_Brighton_Premier League_20_2020-2021,Striker
Aaron Cresswell_ENG_DF_West Ham_Premier League_30_2020-2021,Full-back
Aaron Ramsdale_ENG_GK_Sheffield Utd_Premier League_22_2020-2021,Goalkeeper
Aaron Wan-Bissaka_ENG_DF_Manchester Utd_Premier League_22_2020-2021,Full-back
Abdoulaye Doucouré_FRA_MF_Everton_Premier League_27_2020-2021,Midfielder
Adam Lallana_ENG_MFFW_Brighton_Premier League_32_2020-2021,Attacking Midfielder
Adam Webster_ENG_DF_Brighton_Premier League_25_2020-2021,Centre-back
Adama Traoré_ESP_FW_Wolves_Premier League_24_2020-2021,Winger
Ademola Lookman_ENG_FWMF_Fulham_Premier League_22_2020-2021,Winger
Ahmed Elmohamady_EGY_DF_Aston Villa_Premier League_32_2020-2021,Full-back
Ainsley Maitland-Niles_ENG_DF_Arsenal_Premier League_22_2020-2021,Defensive Winger
Ainsley Maitland-Niles_ENG_MF_West Brom_Premier League_22_2020-2021,Defensive Winger
Aleksandar Mitrović_SRB_FW_Fulham_Premier League_25_2020-2021,Striker
Alex Iwobi_NGA_FWDF_Everton_Premier League_24_2020-2021,Winger
Alex McCarthy_ENG_GK_Southampton_Premier League_30_2020-2021,Goalkeeper
Alex Telles_BRA_DF_Manchester Utd_Premier League_27_2020-2021,Full-back
Alexandre Lacazette_FRA_FW_Arsenal_Premier League_29_2020-2021,Striker
Alexis Mac Allister_ARG_MFFW_Brighton_Premier League_21_2020-2021,Attacking Midfielder
Alireza Jahanbakhsh_IRN_FWMF_Brighton_Premier League_26_2020-2021,Winger
Alisson_BRA_GK_Liverpool_Premier League_27_2020-2021,Goalkeeper
Allan Saint-Maximin_FRA_FWMF_Newcastle Utd_Premier League_23_2020-2021,Winger
Allan_BRA_MF_Everton_Premier League_29_2020-2021,Midfielder
Alphonse Areola_FRA_GK_Fulham_Premier League_27_2020-2021,Goalkeeper
André Gomes_POR_MF_Everton_Premier League_27_2020-2021,Midfielder
Andreas Christensen_DEN_DF_Chelsea_Premier League_24_2020-2021,Centre-back
Andre-Frank Zambo Anguissa_CMR_MF_Fulham_Premier League_24_2020-2021,Defensive Midfielder
Andrew Robertson_SCO_DF_Liverpool_Premier League_26_2020-2021,Full-back
Andros Townsend_ENG_MFFW_Crystal Palace_Premier League_29_2020-2021,Winger
Angelo Ogbonna_ITA_DF_West Ham_Premier League_32_2020-2021,Centre-back
Anthony Martial_FRA_FW_Manchester Utd_Premier League_24_2020-2021,Striker
Antonee Robinson_USA_DF_Fulham_Premier League_22_2020-2021,Full-back
Antonio Rüdiger_GER_DF_Chelsea_Premier League_27_2020-2021,Centre-back
Anwar El Ghazi_NED_FW_Aston Villa_Premier League_25_2020-2021,Winger
Arthur Masuaku_COD_DFFW_West Ham_Premier League_26_2020-2021,Full-back
Ashley Barnes_ENG_FW_Burnley_Premier League_30_2020-2021,Striker
Ashley Westwood_ENG_MF_Burnley_Premier League_30_2020-2021,Defensive Midfielder
Axel Tuanzebe_ENG_DF_Manchester Utd_Premier League_22_2020-2021,Centre-back
Aymeric Laporte_ESP_DF_Manchester City_Premier League_26_2020-2021,Centre-back
Ayoze Pérez_ESP_MFFW_Leicester City_Premier League_27_2020-2021,Striker
Ben Chilwell_ENG_DF_Chelsea_Premier League_23_2020-2021,Full-back
Ben Davies_WAL_DF_Tottenham_Premier League_27_2020-2021,Full-back
Ben Godfrey_ENG_DF_Everton_Premier League_22_2020-2021,Centre-back
Ben Johnson_ENG_DF_West Ham_Premier League_20_2020-2021,Full-back
Ben Mee_ENG_DF_Burnley_Premier League_30_2020-2021,Centre-back
Ben Osborn_ENG_MFDF_Sheffield Utd_Premier League_25_2020-2021,Defensive Winger
Ben White_ENG_DFMF_Brighton_Premier League_22_2020-2021,Centre-back
Benjamin Mendy_FRA_DF_Manchester City_Premier League_26_2020-2021,Centre-back
Bernard_BRA_MFFW_Everton_Premier League_27_2020-2021,Winger
Bernardo Silva_POR_MFFW_Manchester City_Premier League_25_2020-2021,Attacking Midfielder
Bernd Leno_GER_GK_Arsenal_Premier League_28_2020-2021,Goalkeeper
Bertrand Traoré_BFA_FW_Aston Villa_Premier League_24_2020-2021,Winger
Billy Sharp_ENG_FW_Sheffield Utd_Premier League_34_2020-2021,Striker
Bobby Reid_JAM_MFDF_Fulham_Premier League_27_2020-2021,Attacking Midfielder
Branislav Ivanović_SRB_DF_West Brom_Premier League_36_2020-2021,Centre-back
Bruno Fernandes_POR_MF_Manchester Utd_Premier League_25_2020-2021,Attacking Midfielder
Bukayo Saka_ENG_FWDF_Arsenal_Premier League_18_2020-2021,Defensive Winger
Çağlar Söyüncü_TUR_DF_Leicester City_Premier League_24_2020-2021,Centre-back
Callum Hudson-Odoi_ENG_FWDF_Chelsea_Premier League_19_2020-2021,Winger
Callum Robinson_IRL_FWMF_West Brom_Premier League_25_2020-2021,Striker
Callum Wilson_ENG_FW_Newcastle Utd_Premier League_28_2020-2021,Striker
Calum Chambers_ENG_DF_Arsenal_Premier League_25_2020-2021,Full-back
Cédric Soares_POR_DF_Arsenal_Premier League_28_2020-2021,Full-back
César Azpilicueta_ESP_DF_Chelsea_Premier League_30_2020-2021,Full-back
Charlie Taylor_ENG_DF_Burnley_Premier League_26_2020-2021,Full-back
Che Adams_SCO_FW_Southampton_Premier League_24_2020-2021,Striker
Cheikhou Kouyaté_SEN_DF_Crystal Palace_Premier League_30_2020-2021,Defensive Midfielder
Chris Basham_ENG_DFMF_Sheffield Utd_Premier League_32_2020-2021,Centre-back
Chris Wood_NZL_FW_Burnley_Premier League_28_2020-2021,Striker
Christian Benteke_BEL_FW_Crystal Palace_Premier League_29_2020-2021,Striker
Christian Fuchs_AUT_DF_Leicester City_Premier League_34_2020-2021,Full-back
Christian Pulisic_USA_FWMF_Chelsea_Premier League_21_2020-2021,Winger
Ciaran Clark_IRL_DF_Newcastle Utd_Premier League_30_2020-2021,Centre-back
Conor Coady_ENG_DF_Wolves_Premier League_27_2020-2021,Centre-back
Conor Gallagher_ENG_MF_West Brom_Premier League_20_2020-2021,Midfielder
Conor Townsend_ENG_DF_West Brom_Premier League_27_2020-2021,Full-back
Craig Dawson_ENG_DF_West Ham_Premier League_30_2020-2021,Centre-back
Curtis Jones_ENG_MF_Liverpool_Premier League_19_2020-2021,Midfielder
Dan Burn_ENG_DF_Brighton_Premier League_28_2020-2021,Centre-back
Dani Ceballos_ESP_MF_Arsenal_Premier League_23_2020-2021,Midfielder
Daniel Amartey_GHA_DF_Leicester City_Premier League_25_2020-2021,Centre-back
Daniel James_WAL_FW_Manchester Utd_Premier League_22_2020-2021,Winger
Daniel Podence_POR_MFFW_Wolves_Premier League_24_2020-2021,Winger
